norm epa,team #
2014,2910
1851,1778
1788,5468
1755,9450
1745,2046
1737,1318
1729,3663
1728,9442
1724,957
1706,2930
1703,9023
1703,2522
1695,360
1694,3636
1688,3674
1675,4469
1662,1540
1660,6696
1655,1425
1652,488
1643,4915
1641,955
1636,4513
1622,6343
1620,2147
1618,4043
1618,3218
1617,948
1617,2471
1615,2412
1587,10079
1585,5937
1585,4450
1584,9036
1582,4061
1580,6443
1558,2557
1556,10416
1549,6831
1545,2550
1544,997
1540,7034
1537,4131
1509,9567
1501,3826
1496,2976
1489,4125
1472,4918
1465,9446
1455,3574
